category,question
SCIENCE,"Glycine is the simplest one of these, the essential building blocks of all proteins"
SCIENCE,"(<a href=""http://www.j-archive.com/media/2009-09-29_DJ_17.wmv"">Jimmy of the Clue Crew shows an animation on the monitor.</a>)  Charged particles from the Sun that become trapped in the Earth's magnetic field & interact with gases in the upper atmosphere cause this phenomenon"
SCIENCE,"Metabolic imbalances can cause this, an electrical disturbance that alters the heartbeat"
SCIENCE,"The production of antibodies is stimulated by the presence of these, like viruses, toxins & bacteria"
SCIENCE,Sediments laid down by streams during flooding form this type of plain
SCIENCE,This deficiency of hemoglobin is often accompanied by a reduced  number of red blood cells
SCIENCE,"This adjective means ""having a pH factor of more than 7"""
SCIENCE,"(<a href=""http://www.j-archive.com/media/2008-03-25_DJ_07.wmv"">Jon  of the Clue Crew reports from the lab, holding an inflated balloon.</a>)  If you put a flame up to a balloon it will pop, but if you put water inside the balloon and hold it over a flame it will not pop, because the water does this"
SCIENCE,"The name of this one-celled protozoan comes from the Greek for ""change"""
SCIENCE,"This type of ""shock"" is usually a severe allergic reaction, as to a bee sting"
SCIENCE,"This term for a plant or animal with a marked deficiency of pigmentation comes from the Latin for ""white"""
SCIENCE,"( <a href=""http://www.j-archive.com/media/2007-12-06_J_07.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue from a science lab.</a> ) After five minutes in lemon juice, the <a href=""http://www.j-archive.com/media/2007-12-06_J_07a.jpg"" target=""_blank"">coin is shiny</a> because the lemon's this works chemically to remove the oxide"
SCIENCE,The formula for this hormone is C<sub>9</sub>H<sub>13</sub>NO<sub>3</sub>; can you feel it speeding up your heartbeat?
SCIENCE,"( <a href=""http://www.j-archive.com/media/2007-12-06_J_10.jpg"" target=""_blank"">Jon of the Clue Crew reports from the  University of Mississippi.</a> )  Focused ultrasound waves are propelling the water here at Ol' Miss's cutting edge NCPA -- National Center for Physical these"
SCIENCE,"This inert gas is atomic number 18; you should ""naut"" search any further"
SCIENCE,The 8 essential types of these acids cannot be produced by the human body & must be obtained from food
SCIENCE,Revive yourself & give the name of this compound of nitrogen & hydrogen that has been used for refrigeration
SCIENCE,"(<a href=""http://www.j-archive.com/media/2006-04-20_DJ_08.jpg"" target=""_blank"">Jon of the Clue Crew reports from Duke University in Durham, NC.</a>)  Vaulters can use hollow poles to save weight because this center line of <a href=""http://www.j-archive.com/media/2006-04-20_DJ_08a.jpg"" target=""_blank"">a bent pole</a> is neutral, taking little or no stress"
SCIENCE,"Either dominant or recessive, they can be different forms of the same gene"
SCIENCE,"Probably the most common & best known carnivore of the late Jurassic period, it had a 3-foot-long skull"
SCIENCE,"It's what the ""A"" stands for in AIDS"
SCIENCE,(Kelly of the Clue Crew stands behind a table)   The experiment showing that two objects weighing the same displace different amounts of water because they have different densities was developed by this mathematician
SCIENCE,In the 1920s Edwin Hubble determined that this galaxy was in fact a separate galaxy from the Milky Way
SCIENCE,These are just small masses of lymphoid tissue in the nasopharynx
SCIENCE,This treelike grass with a woody stem is the favored food of pandas
SCIENCE,Toxins from these single-celled organisms can cause diseases like botulism
SCIENCE,It's the theory that the universe was created in a cosmic explosion
SCIENCE,"This attraction between atoms may be ionic, covalent or hydrogen"
SCIENCE,This dark volcanic rock is low in silica content but fairly rich in iron & magnesium
SCIENCE,"The $6 Million Man could tell you that this word lost the ""electro"" from its middle"
SCIENCE,2 men at the U. of Washington's Department of this won the 1992 Nobel Prize for studying cell protein regulation
SCIENCE,"(<a href=""http://www.j-archive.com/media/2006-09-13_DJ_23.wmv"" target=""_blank"">Jon of the Clue Crew sits by a machine that's playing with a shoe at the Nike Campus in Oregon.</a>)  The three main areas studied at the Nike Sport Research Lab are physiology, sensory perception & this, defined as the way forces act on the body"
SCIENCE,"If you doubt the need for a pink-eared antgrubber & a hollow-tailed antgrubber, you aren't recognizing the value of this"
SCIENCE,Biblical-sounding term for the principle that living organisms develop only from other living organisms
SCIENCE,The sandhill type of this tall wading bird breeds from Alaska to Hudson Bay
SCIENCE,"(<a href=""http://www.j-archive.com/media/2011-12-14_DJ_20.wmv"">Jimmy of the Clue Crew swishes a quarter inside an inflated baloon.</a>)  The quarter inside the balloon continues in a circular motion, because the balloon is imposing this inward force, from the Latin for ""seek the center"""
SCIENCE,"Originally, this unit of measure was the amount of radioactivity given off by one gram of radium"
SCIENCE,This type of particle accelerator utilizes a spiraling path
SCIENCE,"The name of this class of mollusks comes from Greek words meaning ""head foot"""
SCIENCE,It's the name of a chemical substance made up of 2 or more elements
SCIENCE,In 1985 Giacobini-Zinner became the first one of these to be intercepted by a spacecraft
SCIENCE,These windstorms spiral clockwise in the Southern Hemisphere & counterclockwise in the Northern
SCIENCE,"When boiled, this fibrous protein found in bones & connective tissue dissolves & forms gelatin"
SCIENCE,It's the force that holds the molecules of a substance together
SCIENCE,"No kidding, the name of this type of wispy cloud is from the Latin for ""curl"""
SCIENCE,It's another name for a canine tooth
SCIENCE,"(<a href=""http://www.j-archive.com/media/2010-04-09_DJ_06.wmv"">Jimmy of the Clue Crew performs a physics demonstration.</a>) When I swing a bucket of water, it doesn't spill, because of this force that pulls it in the center and keeps it from following its path of inertia"
SCIENCE,"The earliest period of the Paleozoic Era, it extends from about 542 to 488 million years ago"
SCIENCE,"(<a href=""http://www.j-archive.com/media/2010-04-09_DJ_08.wmv"">Sarah of the Clue Crew does a demonstration with some falling water.</a>)  The two streams of water form one, because water molecules are so attracted to each other that when they come near, they stick together, a uniting action known as this"
SCIENCE,"Amphibians & fish are described as being poikilothermic, more popularly called this"
SCIENCE,The Gutenberg Discontinuity is the boundary that separates the Earth's mantle from this part
SCIENCE,"The one named for Max Planck is 6.6260755 X 10 (to the negative 34) joule-second, symbolized simply h"
SCIENCE,Simple ones are classified as monosaccharides
SCIENCE,"In order to duplicate itself in cell division, one of these splits into 2 identical strands called chromatids"
SCIENCE,"It's Latin for ""bark"" (like on a tree); the cerebral type is the layer that covers your brain"
SCIENCE,This type of cable has insulated conducting material around a separately insulated conducting tube
SCIENCE,"In an experiment, it's the ""group"" of people not receiving the treatment under study"
SCIENCE,"(<a href=""http://www.j-archive.com/media/2002-05-03_DJ_19.wmv"">Jimmy of the Clue Crew finds some enormous turtles.</a>)  This word, derived from Spanish, refers to the upper part of a turtle's <a href=""http://www.j-archive.com/media/2002-05-03_DJ_19a.jpg"" target=""_blank"">shell</a>"
SCIENCE,This Frenchman showed that the inverse square law applied to the forces between magnetic poles
SCIENCE,"To remove poisonous substances, or to purge an addict's body of harmful substances"
SCIENCE,"A direct current generator, or a person with lots of energy"
SCIENCE,"The mountain ash & honey locust trees share this quality, as becomes evident in autumn"
SCIENCE,Coulomb's law says the force between 2 charges is inversely proportional to the square of this
SCIENCE,"About 1 hydrogen atom in 6,500 is this isotope"
SCIENCE,A 1761 work by the great anatomist Morgagni has records of 640 of these procedures
SCIENCE,"Gold leads all metals in this property, the ability to be drawn into wires without breaking"
SCIENCE,"(<a href=""http://www.j-archive.com/media/2007-05-11_DJ_04.jpg"" target=""_blank"">Jimmy of the Clue Crew delivers the clue from a science lab.</a>)  The melting of ice doesn't raise the level of water because ice does <a href=""http://www.j-archive.com/media/2007-05-11_DJ_04a.jpg"" target=""_blank"">this</a> to a volume of water equivalent to its own volume when it melts"
SCIENCE,The Flintstones' pet could tell you that these parts of plankton are named in part for appendages called flagella
SCIENCE,"(<a href=""http://www.j-archive.com/media/2007-05-11_DJ_06.jpg"" target=""_blank"">Sarah of the Clue Crew shows a micrograph of an organism with radial symmetry on the monitor.</a>)  A grungy type of earth used as industrial filler is named for these beautiful symmetrical algae from which it's made"
SCIENCE,Children with this genetic disease have 3 no. 21 chromosomes instead of the usual 2
SCIENCE,"This chemist discovered several elements, including magnesium, & also invented a miner's safety lamp"
SCIENCE,Sharks first inhabited the waters during this period of the Paleozoic era named for an English county
SCIENCE,"Named for a German mathematician, it's a process for eliminating or neutralizing a magnetic field"
SCIENCE,"The atomic mass unit is also called this, after a 19th century British scientist"
SCIENCE,It's the more common name for solid CO<sub>2</sub>
SCIENCE,"(<a href=""http://www.j-archive.com/media/2008-03-11_DJ_02.jpg"" target=""_blank"">Jimmy of the Clue Crew mimics the monitor.</a> This particular exercise strengthens & tones this large muscle that covers the shoulder"
SCIENCE,"Ah, well, it's the area of light winds & calms in equatorial regions--how depressing"
SCIENCE,"With a diameter averaging about 7 miles, it's the smaller of Mars' 2 moons"
SCIENCE,"(<a href=""http://www.j-archive.com/media/2008-03-11_DJ_05.jpg"" target=""_blank"">Kelly of the Clue Crew adds drops to a beaker.</a>) When you add food coloring to water, the motions of the dye's molecules causes it to <a href=""http://www.j-archive.com/media/2008-03-11_DJ_05a.jpg"" target=""_blank"">disperse</a>, eventually filling the glass evenly through a process called this"
SCIENCE,The material left behind by a retreating glacier or the slow movement of the continents
SCIENCE,How loud you're playing your Aerosmith album is indicated by this number
SCIENCE,In 1837 this French theatrical designer invented a new type of photography
SCIENCE,Sailing ships may experience days of calm in this ocean region near the Equator
SCIENCE,"Hey, man! - that's heavy hydrogen"
LITERATURE,"It's the title of Tom Wolfe's ""fiery"" 1987 bestseller"
LITERATURE,Hemingway reportedly considered this short story about a dying novelist on African safari to be his best
LITERATURE,"""A la recherche du temps perdu"" is the French title of this Proust masterpiece"
LITERATURE,Former jeweler Clym Yeobright is the title returnee in this Thomas Hardy novel
LITERATURE,"A gentleman impersonates a king to save the title ""prisoner"" in this Anthony Hope work"
LITERATURE,"Cervantes wrote in ""Don Quixote"", ""There are only two families in the world, the Haves and"" these"
LITERATURE,"His sonnet published in 1609 began, ""Shall I compare thee to a summer's day?"""
LITERATURE,Matsuo Basho was bashing out these 3-line poems in Japan during the 17th century
LITERATURE,"In ""Alexander's Feast"" John Dryden wrote, ""None but the brave deserves"" them"
LITERATURE,"The romantic troubles in his personal life inspired his ""The School for Husbands"" & ""The School for Wives"""
LITERATURE,"Part one of this English allegory ends, ""So I awoke, and behold it was a dream"""
LITERATURE,"This character studied medicine, ""knowing it would be useful in long voyages"""
LITERATURE,"In ""Advice to a Young Tradesman"", this Pennsylvanian wrote, ""Remember that time is money"""
LITERATURE,"This Defoe title gal is... busy, yes, that's the word... what with her pickpocketing, seduction & 5 marriages & all"
LITERATURE,"A chief source of transcendentalist ideas was Immanuel Kant's 1781 ""Critique of"" this"
LITERATURE,"The satirical 1724-25 pamphlet ""Drapier's Letters"" increased this English author's fame; a ""modest"" essay followed"
LITERATURE,"Samuel Richardson's ""Pamela"" is this type of novel, written in the form of letters"
LITERATURE,"Beaumarchais' plays included ""The Barber of Seville"" & ""The Marriage of"" this man"
LITERATURE,"In 1713 Anne Finch, Lady Winchilsea, wrote a poem to this bird, 106 years before John Keats' ode"
LITERATURE,"""It's Not Unusual"" to just ""Help Yourself"" to this 1749 Henry Fielding classic"
LITERATURE,"1720's ""The Adventures of Captain Singleton"" was his next novel after ""Robinson Crusoe"""
LITERATURE,"He'd only been in America for 2 years when he published his ""Common Sense"" pamphlet in 1776"
LITERATURE,"In 2007 this novel celebrated its 50th anniversary as its manuscript, a 120-foot-long scroll, toured the U.S."
LITERATURE,"William Wells Brown's ""Clotel; or, The President's Daughter"" is about the kids this man allegedly had with a slave"
LITERATURE,"He wrote ""The Bride Comes to Yellow Sky"", ""The Blue Hotel"" & ""The Red Badge of Courage"""
LITERATURE,"Edward Bellamy's 1888 book ""Looking Backward"" sends a man to this year & doesn't mention computer bugs"
LITERATURE,Ydgrun is a goddess worshipped by residents of this Samuel Butler country
LITERATURE,"Oscar Wilde wrote ""The Picture of Dorian Gray"" & he wrote ""The Portrait of A Lady"""
LITERATURE,"You'll find whaleboats not only in his masterpiece but also in his story ""Benito Cereno"" & his novel ""Mardi"""
LITERATURE,"In ""Uncle Tom's Cabin"", St. Clare, Tom's master, is killed; Tom is then sold to this brutal, drunken planter"
LITERATURE,"In Pedro Antonio de Alarcon's ""The Three-Cornered"" this, a miller thinks his wife is having an affair with the mayor"
LITERATURE,The last name of the title character of this Thomas Hardy novel is actually Durbeyfield
LITERATURE,"For 14 years, the Abbe Faria was his fellow prisoner in the Chateau d'If"
LITERATURE,"His unladylike horror story ""The Cask of Amontillado"" was first published in Godey's Lady's Book, in 1846"
LITERATURE,The mock turtle sings a song about the lobster quadrille in this classic children's book
LITERATURE,"A scientist tests poison on his own daughter in this American author's 1840s story ""Rappaccini's Daughter"""
LITERATURE,"""The Wept of Wish-Ton-Wish"" is this author's 1829 novel about King Philip's War"
LITERATURE,"The title gem in this Wilkie Collins novel was once in the handle of a dagger owned by Tippoo, the sultan of Seringapatam"
LITERATURE,In an 1877 novel Mrs. Gordon initially suggests the name Ebony for this title character
LITERATURE,"""'How are you getting on?' said"" this animal character, ""as soon as there was mouth enough for it to speak with"""
LITERATURE,"It may ring a bell that he had ""a huge head sprouting red hair; between the two shoulders an enormous hump"""
LITERATURE,The title wrongdoing in this novel is the murder of a pawnbroker & her sister by Raskolnikov
LITERATURE,"The year before her death, 29-year-old Emily Bronte published this, her only novel"
LITERATURE,"""Knitting"", ""Still Knitting"" & ""The Knitting Done"" are chapters in this 1859 novel"
LITERATURE,"Published in 1849, ""Redburn: His FIrst Voyage"" was based on this author's first voyage as a cabin boy"
LITERATURE,"Novel in which Ishmael, feeling ""a damp, drizzly November"" in his soul, goes to work on a whaler"
LITERATURE,"In this Mark Twain story, a mechanic is knocked unconscious in a fight & awakens in Camelot in 528 A.D."
LITERATURE,"His 5 ""Leatherstocking Tales"" portray Natty Bumppo from his youth to his death over 60 years later"
LITERATURE,"Hawthorne wrote that these ""Tales"" had the ""pale tint of flowers that blossomed in too retired a shade"""
LITERATURE,"This Poe tale ends with the line ""The Inquisition was in the hands of its enemies"""
LITERATURE,"""I thought I would sail about a little and see the watery part of the world"", says this narrator"
LITERATURE,"Chapter II of this novel says, ""My eyes were not to be deceived.  I was indeed awake and among the Carpathians"""
LITERATURE,"""The Pastor and His Parishioner"" is Chapter 17 of this classic novel"
LITERATURE,Armor-clad knights face off in a game of baseball in an 1889 work by this author
LITERATURE,"A 50th anniversary edition of this fictionalized biography featured the painting seen <a href=""http://www.j-archive.com/media/2011-12-13_FJ.jpg"" target=""_blank"">here</a> on its cover"
LITERATURE,"This 1949 novel features a society dominated by such slogans as ""War is peace, freedom is slavery, ignorance is strength"""
LITERATURE,"When this title slat bridge with vine handrails broke, 5 victims were hurled to their death"
LITERATURE,"While traveling from Oklahoma to California during the Depression, she says, ""All we got is the family unbroke"""
LITERATURE,This 1946 Nikos Kazantzakis novel was narrated by a Crete mine owner who's drawn out of his shell by an elderly employee
LITERATURE,"This most popular of Zane Grey's books featured a gunslinger named Lassiter & Jane Withersteen, a Mormon heiress"
LITERATURE,"""Annie"" Sadilek, an immigrant girl from Bohemia, inspired the title character in this 1918 novel of the Great Plains"
HISTORY,"In 2001 she became the first first lady to win elective office, becoming a senator from N.Y."
HISTORY,This 2005 event is the costliest natural disaster in U.S. history
HISTORY,Benedict XVI succeeded this man as head of the Roman Catholic church in 2005
HISTORY,"This new cabinet-level department includes FEMA, the Coast Guard & Customs"
HISTORY,In 2004 7 countries that were once Soviet allies were admitted as new members of this military alliance
HISTORY,"This 100-passenger plane's final commercial flight took place on Oct. 24, 2003"
HISTORY,"He retired in 2006, 6 years after the N.Y. Post killed rumors of his demise with the headline ""Fed Head Is Not Dead"""
HISTORY,"The first Republican senator from North Carolina in the 20th century, he left the chamber in 2003"
HISTORY,In July 2001 a court in Chile ruled that this former president was too ill to stand trial
HISTORY,"Way back in 2005, & 10 years after an assassination attempt, he was reelected president of Egypt"
HISTORY,"To keep Delaware's capital away from the invading British, it was moved to this city in 1777"
HISTORY,James Oglethorpe founded Georgia in 1733 as a haven for people in trouble for this back in Britain
HISTORY,"In 1868 & again in 1880, he was succeeded as British Prime Minister by William Gladstone"
HISTORY,In 1952 the U.N. started a commission on this to make the world a less lethal place
HISTORY,"In the 16th century these assemblies of German potentates took place at Speyer, Augsburg & (yummy!) Worms"
HISTORY,He took office as the mayor of Chicago in 1989
HISTORY,Alcatraz has been called America's version of this notorious French island prison
HISTORY,"This order of inquisitorial monks, aka the Black Friars, could have been called the Black ""Fryers"""
HISTORY,On the summit of this hill in Scotland are the remains of Macbeth's castle
HISTORY,"During World War II, the Japanese repeatedly bombed this city on Australia's northern coast"
LITERATURE,Egyptian boy pharaoh's innards
LITERATURE,"""Fiddling"" Roman emperor's admired people"
LITERATURE,Carthaginian general's man-eaters
LITERATURE,First Israelite king's gun-totin' girlfriends
LITERATURE,"""Great"" Persian king's parasitic microscopic organisms"
HISTORY,"She was elected Britain's Prime Minister May 4, 1979"
HISTORY,"(<a href=""http://www.j-archive.com/media/2004-11-25_J_07.jpg"" target=""_blank"">I'm Aaron Brown of CNN.</a>)  One of my first on-air assignments for CNN was on this fateful date, reporting from a rooftop vantage point"
HISTORY,Many still remember that it was on this December date in 1941 that the U.S. officially entered World War II
HISTORY,"Referred to as ""Black Tuesday"", it's the date in 1929 that saw the final collapse of the stock market"
HISTORY,"John Marshall handed down the decision in this landmark case Feb. 24, 1803"
HISTORY,"The radio message Marconi transmitted overseas March 27, 1899 was in this code"
HISTORY,"The S.S. Ancon made the first complete trip through this, August 15, 1914"
HISTORY,"This general defeated Chief Tecumseh at the Battle of Tippecanoe on November 7, 1811"
HISTORY,"On Jan. 1, 1804 Jean-Jacques Dessalines proclaimed this current nation independent"
HISTORY,"On March 9, 1820 his daughter Maria became the first president's daughter married in the White House"
HISTORY,"Home to such early makers as Andrea Amati & Giovanni Maggini, this country is known as the violin's birthplace"
HISTORY,This pupil of Nicolo Amati devised the modern bridge & set the proportions for modern violins
HISTORY,"Established in 1626, Les 24 Violons du Roi was the orchestra of this king, the 13th of the name"
HISTORY,"A violinist, not an archer, Giuseppe Tartini helped establish the modern style of using this"
HISTORY,"A master violinist, this ""Four Seasons"" man was among the first to compose major works for the instrument"
HISTORY,"Hired to design this area in 1791, Major Pierre L'Enfant turned into a major pain & was fired a year later"
HISTORY,During this war Major Martin R. Delany became the U.S. Army's first black field officer
HISTORY,In 1990 this man moved into No. 10 Downing Street & lived there for the next 7 years
HISTORY,"In 1876 this U.S. Army major with a singular name published his ""Rules of Order"""
HISTORY,"William Dunlap, ""the Father of American Drama"", wrote a hit 1798 play about this British major who was hanged"
HISTORY,Iolani Palace in Honolulu was seen as the headquarters for the state police unit on this '70s TV series
HISTORY,"This small Scandinavian country's parliament meets at Christiansborg Palace, the fifth on the same site"
HISTORY,"(<a href=""http://www.j-archive.com/media/2010-10-04_DJ_19a.jpg"" target=""_blank"">Sarah of the Clue Crew stands in front of the Chilean presidential palace.</a>) The presidential palace in Santiago, Chile looks a lot more peaceful than on September 11, 1973, when it was attacked & <a href=""http://www.j-archive.com/media/2010-10-04_DJ_19b.jpg"" target=""_blank"">this</a> man was violently thrown from power"
HISTORY,"Japan's Imperial Palace is on the former site of this castle, also the old name for Tokyo"
HISTORY,"This borough of greater London put a plaque on the ""timely"" site of the old palace where Elizabeth I was born"
HISTORY,"The Huntington Library has some jewels--a manuscript of ""The Canterbury Tales"" (c. 1410) & one of his Bibles (c. 1455)"
HISTORY,"Hebrew university has his archives--digitized, too, so you can see his notes on relativity in his hand"
HISTORY,Apollo astronauts collected 841 pounds of these (most are stored at Johnson space center)
HISTORY,"A 17-ton piece of its hull was recovered from its wreckage site, 450 miles off the coast of Newfoundland"
HISTORY,"The oldest artifact in D.C.'s Newseum is a 3,200-year-old Sumerian brick that spread the news using this writing system"
HISTORY,1985: The national finals in this 5-letter cowboy competition are held in Vegas for the first time
HISTORY,1967: This magical duo make their Las Vegas debut at the Tropicana
HISTORY,1969: His 57-show engagement at the International Hotel breaks existing Vegas attendance records
HISTORY,"1968: This double-named place opens as the first major ""family-friendly"" casino"
HISTORY,1967: Motorcycle daredevil Evel Knievel attempts a jump over this casino's fountains
HISTORY,"The 2006 New York Times headline on Western Union's last telegram used this word, telegrams' version of a period"
HISTORY,"Like the railroad would in 1869, the telegraph went transcontinental by linking up in this state, in 1861"
HISTORY,"In 1866 Western Union had the ""heart"" to introduce the first of these stock-price reporting devices"
HISTORY,Western Union introduced the first of these deferred-payment instruments in 1914; it was made of metal
HISTORY,In 1964 Western Union began using these high-frequency beams transcontinentally to replace land lines
HISTORY,"He traveled the world & beyond with his novels ""Poland"", ""Caribbean"" & ""Space"""
HISTORY,"Roddy Doyle chronicles life in this country in ""Paddy Clark Ha Ha Ha"" & ""The Woman Who Walked into Doors"""
HISTORY,"Born in Edinburgh in 1771, he's considered the first major historical novelist"
HISTORY,"This author's ""Noble House"" follows the tea trading business in Hong Kong & China"
HISTORY,"People might see a theme in his ""Washington, D.C."", ""Hollywood"" & ""Julian"", about restoring paganism in Rome"
HISTORY,She was born Emilie Charlotte Le Breton on the island of Jersey in 1853
HISTORY,In 2008 a group known as MEND launched a war that cut Nigeria's exports of this by 40%
HISTORY,"(<a href=""http://www.j-archive.com/media/2010-02-12_DJ_03.jpg"" target=""_blank"">I'm author and journalist Helene Cooper.</a>) In 1847 a government based on that of the U.S. was established by free black men & former slaves in the West African nation they called this"
HISTORY,Work on a bridge over the Tsavo River was badly hampered in 1898 when 2 of these mammals ate 140 workers
HISTORY,"Aksum, centered in Ethiopia, became a great trading empire around 100 A.D. by controlling this sea"
HISTORY,"A kingdom of West Central Africa founded around 1390 is called this, like 2 current countries, but spelled with a K"
HISTORY,In the 1500s the Portuguese transported Angolans as slaves to this South American colony
HISTORY,In 1969 General Siad Barre led a military coup in this country on the horn of Africa
HISTORY,Shaka increased the population of this tribe by absorbing his defeated enemies into it
HISTORY,This west African country takes its name from a trading empire that once included Timbuktu
HISTORY,Zenodotus of Ephesus was this ancient library's first librarian
HISTORY,This country's 1954-1962 struggle for independence caused a million Europeans to leave it
HISTORY,Stanley found Livingstone in this country that merged with Zanzibar in 1964
HISTORY,"450 years of Portuguese rule ended for this SE African nation when it became independent June 25, 1975"
HISTORY,Burton & Speke explored the Nile & Mungo Park explored this West African river
HISTORY,"After being crowned emporor of Ethiopia in 1930, he introduced a written constitution & abolished slavery"
HISTORY,"When Shaka took over this future empire, tribesmen probably numbered fewer than 1,500"
HISTORY,The Phoenicians built a wall over 20 miles in circumference around this ancient north African city
HISTORY,"In 1975 Cuba sent nearly 18,000 troops to aid guerrilla fighters in this country"
HISTORY,"Although this country gained its independence in 1990, South Africa kept its port of Walvis Bay for another 4 years"
HISTORY,In the 1860s John Hanning Speke concluded that Lake Victoria was the source of this river
